full_name,repo,description,stars,forks,language,user,name,type,location,lat,long,city,country,rank
dhparkdh/resume-for-web-developer,resume-for-web-developer,resume-for-web-developer,158,22,HTML,dhparkdh,dhpark,User,Seoul,37.566534999999995,126.9779692,Seoul,South Korea,156.0
octobox/octobox,octobox,:postbox: Take back control of your GitHub Notifications,1148,62,Ruby,octobox,Octobox,Organization,,,,,,17.0
rails/webpacker,webpacker,Use Webpack to manage app-like JavaScript modules in Rails,644,31,Ruby,rails,Ruby on Rails,Organization,,,,,,30.0
KrauseFx/overkill,overkill,Don't let iTunes interrupt your workflow 💥🎵   ,333,16,Ruby,KrauseFx,Felix Krause,User,San Francisco,37.7749295,-122.4194155,San Francisco,United States,65.5
chendo/airchat,airchat,AirChat lets you chat to nearby users by abusing the AirDrop interface on OS X.,119,3,Ruby,chendo,Jack Chen,User,"Melbourne, Australia",-37.813627600000004,144.96305759999998,Melbourne,Australia,190.5
EduardoPires/EquinoxProject,EquinoxProject,"Full ASP.NET Core application with DDD, CQRS and Event Sourcing",215,61,C#,EduardoPires,Eduardo Pires,User,São Paulo,-23.550519899999998,-46.63330939999999,São Paulo,Brazil,109.0
yuleyule66/Npoi.Core,Npoi.Core,"a .NET Core library that can read/write Office formats without Microsoft Office installed. No COM+, no interop.",126,40,C#,yuleyule66,Savorboard,User,"ChengDu, China",30.572815999999996,104.066801,Chengdu,China,179.0
Unity-Technologies/EditorVR,EditorVR,Author VR in VR - See blog post for supporting downloads:,124,18,C#,Unity-Technologies,Unity Technologies,Organization,"Copenhagen, Denmark",55.676096799999996,12.568337099999999,Copenhagen,Denmark,183.0
gojuno/mainframer,mainframer,Pretty universal instruction and script to setup Remote Build for Android project that uses Gradle (and potentially other build systems).,333,18,Shell,gojuno,Juno Inc.,Organization,"Minsk, Belarus",53.90453979999999,27.5615244,Minsk,Belarus,65.5
plexinc/pms-docker,pms-docker,"Plex Media Server Docker repo, for all your PMS docker needs.",294,19,Shell,plexinc,Plex,Organization,,,,,,74.0
hs-cx/snmp_mib_archive,snmp_mib_archive,An archive of over 3000 unique SNMP MIBs,108,13,Shell,hs-cx,Heston S.,User,"Phoenix, AZ",33.4483771,-112.07403729999999,Phoenix,United States,207.5
